,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
116,2023-09-13,13,September,2023,53,Adults (35-64),M,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,281,180,461,Small,Black,Plastic,Lifetime,Manufacturer C,2,14.4,2,10,False,81.35,UPS,Next Day,Basic,7 Days
135,2023-02-19,19,February,2023,87,Seniors (64+),F,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295,Large,Black,Plastic,1 Year,Manufacturer A,3,14.66,2,19,True,35.7,DHL,Standard,Premium,7 Days
151,2023-11-09,9,November,2023,29,Young Adults (25-34),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,466,360,826,Small,White,Steel,Lifetime,Manufacturer B,1,13.7,9,26,False,27.76,GLS,Same Day,,60 Days
156,2023-11-04,4,November,2023,40,Adults (35-64),M,United States,Kentucky,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,63,45,108,Medium,Green,Aluminum,Lifetime,Manufacturer A,4,12.05,7,13,False,68.85,Posti,Express,Premium,60 Days
158,2023-01-31,31,January,2023,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,594,450,1044,Extra Large,Green,Plastic,Lifetime,Manufacturer C,1,7.18,9,2,False,27.58,Posti,Standard,,7 Days
161,2023-05-28,28,May,2023,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,356,270,626,Small,White,Steel,3 Years,Manufacturer C,1,4.47,6,20,False,65.07,DHL,Standard,,No Return
164,2023-04-17,17,April,2023,25,Young Adults (25-34),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,349,270,619,Medium,White,Aluminum,2 Years,Manufacturer D,3,2.28,6,0,False,13.58,FedEx,Express,,No Return
185,2023-05-07,7,May,2023,53,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,Extra Large,Red,Carbon Fiber,Lifetime,Manufacturer C,4,3.57,9,17,False,67.7,FedEx,Next Day,Basic,30 Days
187,2023-11-10,10,November,2023,50,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842,Large,Red,Steel,2 Years,Manufacturer D,1,7.8,2,8,True,57.74,GLS,Next Day,Basic,30 Days
190,2023-09-18,18,September,2023,55,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353,Small,Red,Steel,Lifetime,Manufacturer C,2,11.87,7,4,False,13.84,Posti,Express,Basic,7 Days
213,2023-06-11,11,June,2023,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,1255,765,2020,Extra Large,Black,Plastic,2 Years,Manufacturer C,2,8.79,6,6,True,26.31,GLS,Next Day,Basic,60 Days
228,2023-07-12,12,July,2023,50,Adults (35-64),M,Germany,Hessen,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1798,1215,3013,Small,White,Aluminum,1 Year,Manufacturer C,3,7.36,9,10,True,89.74,FedEx,Standard,,30 Days
242,2023-01-19,19,January,2023,29,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,Small,Red,Plastic,1 Year,Manufacturer A,1,6.67,6,5,False,91.91,DHL,Express,,No Return
249,2023-01-16,16,January,2023,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832,Extra Large,Blue,Steel,2 Years,Manufacturer C,3,14.82,1,28,False,86.04,UPS,Next Day,Premium,60 Days
250,2023-02-18,18,February,2023,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238,Medium,White,Steel,1 Year,Manufacturer D,1,4.21,5,11,True,32.97,FedEx,Next Day,Premium,30 Days
252,2023-03-02,2,March,2023,41,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353,Small,Green,Plastic,3 Years,Manufacturer C,4,1.61,8,21,False,85.86,DHL,Same Day,Premium,30 Days
254,2023-07-15,15,July,2023,32,Young Adults (25-34),F,Germany,Hessen,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,333,225,558,Large,Black,Carbon Fiber,2 Years,Manufacturer C,1,10.47,4,23,False,21.1,GLS,Express,,30 Days
255,2023-07-15,15,July,2023,32,Young Adults (25-34),F,Germany,Hessen,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223,Medium,Green,Steel,1 Year,Manufacturer B,3,1.11,5,24,False,57.9,Posti,Next Day,Basic,60 Days
264,2023-09-27,27,September,2023,56,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,581,360,941,Medium,Red,Steel,1 Year,Manufacturer B,4,4.19,5,28,True,88.35,FedEx,Same Day,Basic,60 Days
274,2023-11-28,28,November,2023,28,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842,Large,White,Plastic,1 Year,Manufacturer A,3,11.07,7,12,True,53.58,FedEx,Express,Premium,No Return
282,2023-05-17,17,May,2023,27,Young Adults (25-34),M,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,1132,765,1897,Small,Black,Carbon Fiber,1 Year,Manufacturer C,1,5.59,3,0,True,40.68,UPS,Same Day,Basic,7 Days
283,2023-05-17,17,May,2023,27,Young Adults (25-34),M,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,14,45,120,932,630,1562,Small,White,Steel,2 Years,Manufacturer D,4,5.73,1,18,False,13.93,GLS,Next Day,Premium,No Return
291,2023-10-25,25,October,2023,30,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058,Medium,Green,Aluminum,Lifetime,Manufacturer A,1,11.84,2,16,True,8.55,GLS,Standard,Basic,No Return
296,2023-04-14,14,April,2023,30,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823,Large,Blue,Plastic,2 Years,Manufacturer C,5,12.48,9,23,False,78.15,Posti,Standard,,No Return
307,2023-09-02,2,September,2023,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238,Small,White,Steel,1 Year,Manufacturer B,4,8.79,8,22,False,35.68,UPS,Same Day,Premium,No Return
310,2023-03-02,2,March,2023,33,Young Adults (25-34),M,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,340,315,655,Large,White,Plastic,1 Year,Manufacturer A,1,9.28,2,7,True,46.7,FedEx,Express,Basic,30 Days
313,2023-11-05,5,November,2023,37,Adults (35-64),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,Small,Black,Aluminum,3 Years,Manufacturer D,1,4.41,4,5,True,96.45,DHL,Same Day,Premium,7 Days
333,2023-11-22,22,November,2023,28,Young Adults (25-34),F,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,421,270,691,Small,Blue,Aluminum,Lifetime,Manufacturer C,5,9.48,1,5,True,16.03,DHL,Same Day,Premium,30 Days
341,2023-11-24,24,November,2023,59,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,Large,Green,Steel,1 Year,Manufacturer D,4,7.84,7,1,True,49.98,GLS,Next Day,Basic,7 Days
346,2023-10-18,18,October,2023,30,Young Adults (25-34),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823,Medium,Blue,Steel,2 Years,Manufacturer B,3,1.32,3,20,True,65.33,UPS,Same Day,Premium,7 Days
357,2023-05-09,9,May,2023,48,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235,Small,Red,Plastic,3 Years,Manufacturer A,5,6.52,1,5,False,60.65,GLS,Express,,30 Days
360,2023-05-02,2,May,2023,34,Young Adults (25-34),F,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,502,405,907,Extra Large,White,Plastic,2 Years,Manufacturer A,4,13.31,5,5,True,41.88,UPS,Express,Premium,7 Days
369,2023-04-22,22,April,2023,45,Adults (35-64),M,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,199,180,379,Medium,White,Carbon Fiber,2 Years,Manufacturer A,5,9.38,2,13,False,11.59,UPS,Standard,,30 Days
375,2023-05-08,8,May,2023,35,Adults (35-64),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1089,675,1764,Large,Green,Plastic,Lifetime,Manufacturer D,3,0.7,1,5,True,35.3,FedEx,Next Day,,No Return
397,2023-04-20,20,April,2023,39,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,Small,Red,Plastic,3 Years,Manufacturer D,3,7.48,2,29,True,45.75,FedEx,Express,Basic,7 Days
399,2023-10-23,23,October,2023,38,Adults (35-64),F,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,112,90,202,Extra Large,Blue,Carbon Fiber,Lifetime,Manufacturer B,2,12.09,7,24,False,76.68,DHL,Next Day,Premium,7 Days
415,2023-05-15,15,May,2023,26,Young Adults (25-34),M,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,70,45,115,Large,Red,Plastic,1 Year,Manufacturer B,5,10.16,5,14,True,47.6,FedEx,Standard,Premium,60 Days
423,2023-07-10,10,July,2023,39,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,Large,Red,Aluminum,3 Years,Manufacturer B,2,14.62,2,27,False,51.97,Posti,Same Day,,30 Days
432,2023-02-26,26,February,2023,24,Youth (<25),M,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,448,405,853,Large,White,Steel,2 Years,Manufacturer D,4,9.78,9,7,True,63.73,UPS,Next Day,,60 Days
442,2023-06-21,21,June,2023,42,Adults (35-64),M,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1615,1035,2650,Medium,Green,Plastic,2 Years,Manufacturer D,3,1.92,4,28,True,40.56,UPS,Same Day,Basic,No Return
445,2023-05-22,22,May,2023,44,Adults (35-64),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182,Large,Blue,Steel,Lifetime,Manufacturer D,4,1.11,3,6,False,94.99,GLS,Same Day,Premium,30 Days
468,2023-03-14,14,March,2023,25,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522,Small,Blue,Steel,1 Year,Manufacturer B,1,7.54,6,16,True,26.24,Posti,Express,,No Return
477,2023-05-13,13,May,2023,42,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,664,405,1069,Medium,Red,Aluminum,2 Years,Manufacturer C,1,12.72,9,1,False,57.62,Posti,Express,Basic,30 Days
489,2023-08-28,28,August,2023,54,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713,Large,Blue,Carbon Fiber,2 Years,Manufacturer A,2,6.46,6,17,False,89.58,Posti,Standard,,7 Days
490,2023-03-25,25,March,2023,29,Young Adults (25-34),M,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,340,315,655,Large,Red,Plastic,3 Years,Manufacturer C,1,12.01,1,19,True,48.29,FedEx,Same Day,Basic,60 Days
492,2023-12-31,31,December,2023,31,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,729,675,1404,Large,Red,Steel,Lifetime,Manufacturer C,4,1.94,8,14,True,31.35,FedEx,Next Day,,7 Days
514,2023-01-20,20,January,2023,45,Adults (35-64),M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,534,450,984,Small,Blue,Aluminum,2 Years,Manufacturer C,4,5.53,2,17,True,9.3,DHL,Next Day,,No Return
517,2023-09-19,19,September,2023,22,Youth (<25),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,59,45,104,Large,Blue,Aluminum,3 Years,Manufacturer A,5,11.18,5,21,False,82.0,GLS,Next Day,Basic,7 Days
536,2023-10-02,2,October,2023,37,Adults (35-64),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,349,270,619,Large,Blue,Steel,2 Years,Manufacturer B,3,8.61,9,27,True,85.72,DHL,Same Day,Premium,60 Days
549,2023-10-25,25,October,2023,18,Youth (<25),F,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,421,270,691,Extra Large,Green,Aluminum,Lifetime,Manufacturer C,2,6.98,3,27,True,78.37,Posti,Express,Basic,30 Days
579,2023-10-20,20,October,2023,41,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,Small,Blue,Steel,1 Year,Manufacturer B,4,13.04,4,4,False,29.53,Posti,Standard,,60 Days
581,2023-11-24,24,November,2023,41,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,Extra Large,Green,Plastic,1 Year,Manufacturer C,5,7.93,7,5,True,98.1,GLS,Next Day,Basic,60 Days
596,2023-08-14,14,August,2023,24,Youth (<25),F,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,968,590,1558,Extra Large,Green,Plastic,Lifetime,Manufacturer C,5,7.56,3,25,False,68.42,GLS,Same Day,Basic,60 Days
598,2023-12-28,28,December,2023,24,Youth (<25),F,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,678,413,1091,Medium,Green,Carbon Fiber,Lifetime,Manufacturer D,5,12.75,8,9,False,23.27,UPS,Same Day,Premium,7 Days
610,2023-07-12,12,July,2023,50,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,886,531,1417,Extra Large,Black,Aluminum,1 Year,Manufacturer D,1,2.7,3,0,False,8.73,Posti,Express,Basic,30 Days
631,2023-10-11,11,October,2023,33,Young Adults (25-34),M,France,Moselle,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,324,236,560,Large,Blue,Carbon Fiber,3 Years,Manufacturer B,1,12.58,6,19,False,90.04,UPS,Next Day,Premium,60 Days
656,2023-11-17,17,November,2023,36,Adults (35-64),F,United States,Washington,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,130,118,248,Extra Large,Red,Carbon Fiber,3 Years,Manufacturer D,1,1.5,5,3,True,31.96,DHL,Same Day,,30 Days
658,2023-12-19,19,December,2023,30,Young Adults (25-34),F,Australia,Victoria,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,133,118,251,Small,Green,Aluminum,3 Years,Manufacturer B,1,7.11,8,0,False,66.36,Posti,Same Day,Basic,30 Days
662,2023-08-17,17,August,2023,36,Adults (35-64),F,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,749,472,1221,Extra Large,White,Plastic,2 Years,Manufacturer C,1,8.56,4,21,True,62.55,UPS,Standard,Basic,60 Days
671,2023-12-19,19,December,2023,19,Youth (<25),M,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,936,590,1526,Medium,Red,Plastic,2 Years,Manufacturer A,1,2.5,4,27,True,90.19,DHL,Express,Premium,No Return
691,2023-08-29,29,August,2023,30,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,714,531,1245,Large,Black,Steel,Lifetime,Manufacturer B,5,6.45,3,12,True,45.42,UPS,Standard,,No Return
692,2023-02-07,7,February,2023,30,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,397,295,692,Medium,Black,Carbon Fiber,1 Year,Manufacturer B,4,8.85,5,12,False,53.22,UPS,Express,Premium,No Return
696,2023-05-22,22,May,2023,31,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415,Medium,Black,Aluminum,1 Year,Manufacturer A,4,4.31,8,29,True,32.42,FedEx,Express,,60 Days
720,2023-07-12,12,July,2023,20,Youth (<25),F,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,562,354,916,Small,Blue,Steel,3 Years,Manufacturer C,3,8.31,1,7,False,94.14,FedEx,Next Day,,No Return
724,2023-06-01,1,June,2023,37,Adults (35-64),M,Australia,Victoria,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,533,472,1005,Large,Black,Plastic,2 Years,Manufacturer D,1,2.23,6,18,False,59.57,UPS,Express,Premium,No Return
727,2023-08-12,12,August,2023,60,Adults (35-64),M,Australia,Queensland,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,75,59,134,Small,Blue,Plastic,Lifetime,Manufacturer B,2,13.61,6,14,False,80.55,Posti,Express,Basic,60 Days
737,2023-01-26,26,January,2023,30,Young Adults (25-34),M,Australia,Victoria,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,266,236,502,Medium,Blue,Aluminum,3 Years,Manufacturer B,4,6.64,4,22,False,82.58,UPS,Express,Basic,60 Days
766,2023-06-03,3,June,2023,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,787,472,1259,Extra Large,Green,Aluminum,1 Year,Manufacturer C,2,13.73,8,21,False,77.43,UPS,Express,Basic,30 Days
769,2023-03-22,22,March,2023,41,Adults (35-64),M,United States,Washington,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,260,236,496,Large,White,Carbon Fiber,3 Years,Manufacturer C,1,5.64,2,8,True,83.02,DHL,Next Day,Premium,30 Days
799,2023-08-24,24,August,2023,37,Adults (35-64),F,United States,Washington,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,65,59,124,Medium,Blue,Steel,3 Years,Manufacturer B,3,2.23,2,28,False,92.64,GLS,Express,Basic,60 Days
819,2023-02-15,15,February,2023,44,Adults (35-64),M,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,375,236,611,Medium,Black,Steel,2 Years,Manufacturer A,4,12.61,3,0,True,36.84,UPS,Express,Basic,7 Days
829,2023-06-25,25,June,2023,31,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,635,472,1107,Extra Large,Blue,Steel,1 Year,Manufacturer D,1,7.68,3,1,False,47.96,UPS,Express,Basic,30 Days
850,2023-04-19,19,April,2023,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,214,177,391,Medium,Green,Plastic,2 Years,Manufacturer D,3,14.16,4,4,False,11.37,DHL,Express,,7 Days
872,2023-05-14,14,May,2023,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,590,354,944,Large,Black,Steel,3 Years,Manufacturer C,1,13.36,1,19,True,66.18,FedEx,Same Day,,7 Days
884,2023-05-29,29,May,2023,25,Young Adults (25-34),F,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,749,472,1221,Small,Blue,Plastic,2 Years,Manufacturer C,1,7.06,2,13,False,80.99,DHL,Standard,Basic,60 Days
887,2023-02-09,9,February,2023,25,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,238,177,415,Large,Black,Carbon Fiber,Lifetime,Manufacturer C,5,4.9,9,2,True,27.63,GLS,Standard,,7 Days
895,2023-03-09,9,March,2023,59,Adults (35-64),F,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,749,472,1221,Medium,Black,Carbon Fiber,2 Years,Manufacturer C,5,7.25,8,21,True,24.47,UPS,Same Day,,No Return
907,2023-11-19,19,November,2023,21,Youth (<25),M,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,775,472,1247,Extra Large,Green,Plastic,Lifetime,Manufacturer C,3,12.36,6,8,False,37.47,FedEx,Next Day,Premium,30 Days
948,2023-05-10,10,May,2023,35,Adults (35-64),F,United States,Washington,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,65,59,124,Small,Blue,Aluminum,Lifetime,Manufacturer C,5,11.95,1,3,True,88.02,DHL,Same Day,Basic,60 Days
951,2023-05-11,11,May,2023,35,Adults (35-64),F,United States,Washington,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,390,354,744,Small,White,Plastic,2 Years,Manufacturer C,3,7.76,1,2,False,68.18,DHL,Standard,,No Return
965,2023-12-01,1,December,2023,20,Youth (<25),M,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,581,354,935,Extra Large,White,Steel,1 Year,Manufacturer C,2,11.03,4,3,True,38.79,FedEx,Next Day,Basic,No Return
993,2023-10-04,4,October,2023,32,Young Adults (25-34),F,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,468,295,763,Extra Large,Red,Carbon Fiber,Lifetime,Manufacturer A,2,3.45,8,0,False,61.07,GLS,Standard,Basic,30 Days
999,2023-09-19,19,September,2023,52,Adults (35-64),F,Germany,Hamburg,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,178,118,296,Small,Green,Carbon Fiber,1 Year,Manufacturer C,3,8.31,3,13,False,47.37,UPS,Next Day,Basic,7 Days
1015,2023-04-03,3,April,2023,27,Young Adults (25-34),F,Germany,Saarland,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,571,472,1043,Medium,Blue,Plastic,3 Years,Manufacturer C,1,9.18,9,23,False,92.9,Posti,Next Day,Basic,60 Days
1033,2023-01-26,26,January,2023,42,Adults (35-64),M,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,290,177,467,Small,White,Plastic,2 Years,Manufacturer B,3,12.78,4,3,True,16.45,UPS,Next Day,Basic,No Return
1034,2023-04-21,21,April,2023,42,Adults (35-64),M,United States,California,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,871,531,1402,Extra Large,Green,Steel,1 Year,Manufacturer A,4,4.84,6,2,False,12.31,DHL,Express,,No Return
1042,2023-11-11,11,November,2023,31,Young Adults (25-34),M,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,843,531,1374,Small,Green,Steel,1 Year,Manufacturer D,3,2.54,8,22,False,35.28,UPS,Next Day,Basic,7 Days
1043,2023-11-11,11,November,2023,31,Young Adults (25-34),M,United Kingdom,England,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,843,531,1374,Extra Large,Blue,Plastic,Lifetime,Manufacturer D,1,0.72,7,21,False,64.46,DHL,Same Day,Premium,No Return
1055,2023-04-26,26,April,2023,53,Adults (35-64),M,Australia,Victoria,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,43,44,87,Large,Blue,Steel,3 Years,Manufacturer D,3,5.9,3,4,False,38.32,UPS,Express,Premium,7 Days
1092,2023-10-24,24,October,2023,42,Adults (35-64),F,Australia,Victoria,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,8,8,16,Medium,Black,Aluminum,3 Years,Manufacturer A,2,1.16,1,13,False,62.73,FedEx,Same Day,Basic,No Return
1095,2023-10-24,24,October,2023,42,Adults (35-64),F,Australia,Victoria,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10,4,4,8,Large,Black,Plastic,Lifetime,Manufacturer D,2,13.28,1,1,False,21.77,UPS,Same Day,Basic,60 Days
1096,2023-11-01,1,November,2023,42,Adults (35-64),F,Australia,Victoria,Accessories,Bottles and Cages,Mountain Bottle Cage,10,4,10,39,40,79,Small,Green,Steel,2 Years,Manufacturer D,4,12.36,5,19,False,25.95,FedEx,Next Day,Basic,60 Days
